
2023/12/07 (00:46:04) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/07 (00:54:11) | INFO: Quitting! Runtime: 00:08:07

2023/12/07 (19:56:11) | ===> btop++ v.1.2.13
2023/12/07 (19:56:11) | INFO: Logger set to DEBUG
2023/12/07 (19:56:11) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/07 (19:56:11) | INFO: Running on /dev/pts/1
2023/12/07 (19:56:11) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/12/15 (19:54:10) | ===> btop++ v.1.2.13
2023/12/15 (19:54:10) | INFO: Logger set to DEBUG
2023/12/15 (19:54:10) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/15 (19:54:10) | INFO: Running on /dev/pts/1
2023/12/15 (19:54:10) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/12/16 (01:41:31) | ===> btop++ v.1.2.13
2023/12/16 (01:41:31) | INFO: Logger set to DEBUG
2023/12/16 (01:41:31) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/16 (01:41:31) | INFO: Running on /dev/pts/11
2023/12/16 (01:41:32) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/12/18 (01:58:39) | ===> btop++ v.1.2.13
2023/12/18 (01:58:39) | INFO: Logger set to DEBUG
2023/12/18 (01:58:39) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/18 (01:58:39) | INFO: Running on /dev/pts/0
2023/12/18 (01:58:39) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/18 (01:59:27) | DEBUG: Writing new config file
2023/12/18 (01:59:27) | INFO: Quitting! Runtime: 00:00:48

2023/12/20 (23:43:04) | ===> btop++ v.1.2.13
2023/12/20 (23:43:04) | INFO: Logger set to DEBUG
2023/12/20 (23:43:04) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/20 (23:43:04) | INFO: Running on /dev/pts/0
2023/12/20 (23:43:04) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/12/20 (23:43:30) | ===> btop++ v.1.2.13
2023/12/20 (23:43:30) | INFO: Logger set to DEBUG
2023/12/20 (23:43:30) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/20 (23:43:30) | INFO: Running on /dev/pts/0
2023/12/20 (23:43:30) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/20 (23:43:45) | INFO: Quitting! Runtime: 00:00:15

2023/12/21 (12:46:41) | ===> btop++ v.1.2.13
2023/12/21 (12:46:41) | INFO: Logger set to DEBUG
2023/12/21 (12:46:41) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/21 (12:46:41) | INFO: Running on /dev/pts/6
2023/12/21 (12:46:41) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/21 (12:46:57) | INFO: Quitting! Runtime: 00:00:16

2023/12/21 (12:55:40) | ===> btop++ v.1.2.13
2023/12/21 (12:55:40) | INFO: Logger set to DEBUG
2023/12/21 (12:55:40) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/21 (12:55:40) | INFO: Running on /dev/pts/3
2023/12/21 (12:55:40) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/21 (12:55:54) | INFO: Quitting! Runtime: 00:00:14

2023/12/22 (12:47:40) | ===> btop++ v.1.2.13
2023/12/22 (12:47:40) | INFO: Logger set to DEBUG
2023/12/22 (12:47:40) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/22 (12:47:40) | INFO: Running on /dev/pts/9
2023/12/22 (12:47:40) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/22 (12:48:09) | INFO: Quitting! Runtime: 00:00:29

2023/12/29 (14:35:04) | ===> btop++ v.1.2.13
2023/12/29 (14:35:04) | INFO: Logger set to DEBUG
2023/12/29 (14:35:04) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/29 (14:35:04) | INFO: Running on /dev/pts/0
2023/12/29 (14:35:04) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/29 (14:35:14) | INFO: Quitting! Runtime: 00:00:10

2023/12/29 (23:17:11) | ===> btop++ v.1.2.13
2023/12/29 (23:17:11) | INFO: Logger set to DEBUG
2023/12/29 (23:17:11) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/29 (23:17:11) | INFO: Running on /dev/pts/0
2023/12/29 (23:17:11) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/29 (23:17:56) | INFO: Quitting! Runtime: 00:00:45

2023/12/31 (20:44:57) | ===> btop++ v.1.2.13
2023/12/31 (20:44:57) | INFO: Logger set to DEBUG
2023/12/31 (20:44:57) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/31 (20:44:57) | INFO: Running on /dev/pts/1
2023/12/31 (20:44:57) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/12/31 (20:45:10) | INFO: Quitting! Runtime: 00:00:13

2023/12/31 (20:58:30) | ===> btop++ v.1.2.13
2023/12/31 (20:58:30) | INFO: Logger set to DEBUG
2023/12/31 (20:58:30) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/31 (20:58:30) | INFO: Running on /dev/pts/0
2023/12/31 (20:58:30) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/01 (23:33:45) | ===> btop++ v.1.2.13
2024/01/01 (23:33:45) | INFO: Logger set to DEBUG
2024/01/01 (23:33:45) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/01 (23:33:45) | INFO: Running on /dev/pts/3
2024/01/01 (23:33:46) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/01 (23:34:58) | INFO: Quitting! Runtime: 00:01:13

2024/01/02 (00:20:51) | ===> btop++ v.1.2.13
2024/01/02 (00:20:51) | INFO: Logger set to DEBUG
2024/01/02 (00:20:51) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/02 (00:20:51) | INFO: Running on /dev/pts/3
2024/01/02 (00:20:51) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/02 (11:23:34) | ===> btop++ v.1.2.13
2024/01/02 (11:23:34) | INFO: Logger set to DEBUG
2024/01/02 (11:23:34) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/02 (11:23:34) | INFO: Running on /dev/pts/1
2024/01/02 (11:23:34) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/04 (00:18:04) | ===> btop++ v.1.2.13
2024/01/04 (00:18:04) | INFO: Logger set to DEBUG
2024/01/04 (00:18:04) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/04 (00:18:04) | INFO: Running on /dev/pts/3
2024/01/04 (00:18:04) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/04 (11:05:39) | ===> btop++ v.1.2.13
2024/01/04 (11:05:39) | INFO: Logger set to DEBUG
2024/01/04 (11:05:39) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/04 (11:05:39) | INFO: Running on /dev/pts/1
2024/01/04 (11:05:39) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/04 (23:05:50) | ===> btop++ v.1.2.13
2024/01/04 (23:05:50) | INFO: Logger set to DEBUG
2024/01/04 (23:05:50) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/04 (23:05:50) | INFO: Running on /dev/pts/1
2024/01/04 (23:05:50) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/04 (23:09:05) | INFO: Quitting! Runtime: 00:03:15

2024/01/07 (13:21:20) | ===> btop++ v.1.2.13
2024/01/07 (13:21:20) | INFO: Logger set to DEBUG
2024/01/07 (13:21:20) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/07 (13:21:20) | INFO: Running on /dev/pts/18
2024/01/07 (13:21:20) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/07 (13:24:23) | INFO: Quitting! Runtime: 00:03:03

2024/01/10 (17:10:15) | ===> btop++ v.1.2.13
2024/01/10 (17:10:15) | INFO: Logger set to DEBUG
2024/01/10 (17:10:15) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/10 (17:10:15) | INFO: Running on /dev/pts/0
2024/01/10 (17:10:15) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/10 (17:10:57) | INFO: Quitting! Runtime: 00:00:42

2024/01/11 (19:07:34) | ===> btop++ v.1.2.13
2024/01/11 (19:07:34) | INFO: Logger set to DEBUG
2024/01/11 (19:07:34) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/11 (19:07:34) | INFO: Running on /dev/pts/9
2024/01/11 (19:07:34) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2024/01/12 (16:55:19) | ===> btop++ v.1.3.0
2024/01/12 (16:55:19) | INFO: Logger set to DEBUG
2024/01/12 (16:55:19) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/12 (16:55:19) | INFO: Running on /dev/pts/1
2024/01/12 (16:55:19) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/12 (16:55:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/12 (16:55:19) | DEBUG: Shared::init() : Initialized.
2024/01/12 (16:55:19) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/12 (16:55:34) | DEBUG: Writing new config file
2024/01/12 (16:55:34) | INFO: Quitting! Runtime: 00:00:15

2024/01/12 (21:55:25) | ===> btop++ v.1.3.0
2024/01/12 (21:55:25) | INFO: Logger set to DEBUG
2024/01/12 (21:55:25) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/12 (21:55:25) | INFO: Running on /dev/pts/3
2024/01/12 (21:55:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/12 (21:55:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/12 (21:55:25) | DEBUG: Shared::init() : Initialized.
2024/01/12 (21:55:25) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/12 (21:56:27) | DEBUG: Writing new config file
2024/01/12 (21:56:27) | INFO: Quitting! Runtime: 00:01:02

2024/01/18 (02:59:28) | ===> btop++ v.1.3.0
2024/01/18 (02:59:28) | INFO: Logger set to DEBUG
2024/01/18 (02:59:28) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/18 (02:59:28) | INFO: Running on /dev/pts/3
2024/01/18 (02:59:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/18 (02:59:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/18 (02:59:28) | DEBUG: Shared::init() : Initialized.
2024/01/18 (02:59:28) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/18 (02:59:39) | INFO: Quitting! Runtime: 00:00:11

2024/01/18 (11:44:21) | ===> btop++ v.1.3.0
2024/01/18 (11:44:21) | INFO: Logger set to DEBUG
2024/01/18 (11:44:21) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/18 (11:44:21) | INFO: Running on /dev/pts/3
2024/01/18 (11:44:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/18 (11:44:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/18 (11:44:21) | DEBUG: Shared::init() : Initialized.
2024/01/18 (11:44:21) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/18 (11:44:23) | INFO: Quitting! Runtime: 00:00:02

2024/01/18 (11:44:24) | ===> btop++ v.1.3.0
2024/01/18 (11:44:24) | INFO: Logger set to DEBUG
2024/01/18 (11:44:24) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/18 (11:44:24) | INFO: Running on /dev/pts/3
2024/01/18 (11:44:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/01/18 (11:44:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/18 (11:44:24) | DEBUG: Shared::init() : Initialized.
2024/01/18 (11:44:24) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2024/01/18 (11:44:34) | INFO: Quitting! Runtime: 00:00:10

2024/01/20 (21:16:25) | ===> btop++ v.1.3.0
2024/01/20 (21:16:25) | INFO: Logger set to DEBUG
2024/01/20 (21:16:25) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2024/01/20 (21:16:25) | INFO: Running on /dev/pts/9
2024/01/20 (21:16:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
